time_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,0.007251987233757973,0.510877980850637,0.5076145865954459,0.5,0.0076145865954458936,2.1308109760284424,0.013526873663067818,2.129676342010498,-0.022238537669181824,-0.006671561393886805,-0.9847708344459534,-0.0023350464180111885,-0.9871059060096741,0.0014042272232472897,0.00042126819607801735,-0.15254414081573486,0.00014744386135134846,-0.15239669382572174,0.011701459996402264,0.0035104381386190653,-0.9847708344459534,0.001228653360158205,-0.9835422039031982,0.0793234333395958,0.023797031491994858,-0.9847708344459534,0.008328961208462715,-0.9764418601989746,0.07210470736026764,0.021631412208080292,-0.1077149361371994,0.007570994086563587,-0.10014393925666809,-0.01903068646788597,-0.005709206219762564,-0.9847708344459534,-0.0019982222001999617,-0.9867690801620483,0.03864283859729767,0.01159285195171833,0.20236191153526306,0.004057498183101416,0.20641940832138062,0.029623348265886307,0.008887005038559437,-0.1778431534767151,0.0031104516237974167,-0.17473269999027252,-0.022809406742453575,-0.006842822302132845,-0.4646754860877991,-0.0023949877358973026,-0.46707046031951904,-0.026771124452352524,-0.008031337521970272,-0.5074171423912048,-0.0028109680861234665,-0.5102280974388123,-0.0224009957164526,-0.0067202989012002945,-0.28357529640197754,-0.0023521045222878456,-0.285927414894104
0.04,0.1290803700685501,0.6936205551028252,0.6355343885719776,0.5,0.13553438857197764,1.6590735912322998,0.024971548467874527,1.6594487428665161,-0.12967318296432495,-0.04357204586267471,-0.7289312481880188,-0.015250216238200665,-0.7441814541816711,-0.029314162209630013,-0.00849936157464981,-0.1071045771241188,-0.0029747765511274338,-0.11007935553789139,0.061178650707006454,0.02081090211868286,-0.7289312481880188,0.007283815648406744,-0.7216474413871765,-0.04680400341749191,0.0026167212054133415,-0.7289312481880188,0.0009158524335362017,-0.7280154228210449,-0.02288118377327919,0.008277632296085358,-0.08481011539697647,0.002897171303629875,-0.08191294223070145,0.11806672066450119,0.031423576176166534,-0.7289312481880188,0.010998251847922802,-0.7179329991340637,0.035976700484752655,0.018908007070422173,0.1813015341758728,0.006617802195250988,0.18791933357715607,-0.05928866192698479,-0.011565696448087692,-0.19924533367156982,-0.004047993570566177,-0.2032933235168457,0.042105045169591904,0.00784153863787651,-0.4742652177810669,0.00274453847669065,-0.47152069211006165,-0.06389094144105911,-0.024789219722151756,-0.49658772349357605,-0.008676227182149887,-0.5052639245986938,0.08690004050731659,0.021365804597735405,-0.25377535820007324,0.007478031329810619,-0.24629732966423035
0.06,0.03694245591759682,0.5554136838763952,0.5387895787134767,0.5,0.03878957871347666,2.006389617919922,0.047991231083869934,2.0151963233947754,-0.23276138305664062,-0.10032885521650314,-0.922420859336853,-0.03511510044336319,-0.957535982131958,-0.04163549840450287,-0.01844020187854767,-0.12836141884326935,-0.0064540705643594265,-0.13481548428535461,0.09204680472612381,0.042181674391031265,-0.922420859336853,0.014763586223125458,-0.907657265663147,-0.0697312280535698,-0.019087664783000946,-0.922420859336853,-0.006680682767182589,-0.9291015267372131,0.007499278988689184,0.008044126443564892,-0.11393450945615768,0.002815444255247712,-0.11111906170845032,0.09260392189025879,0.04977767914533615,-0.922420859336853,0.017422188073396683,-0.9049986600875854,0.03602959215641022,0.02404448203742504,0.10076551139354706,0.008415568619966507,0.10918107628822327,-0.09629132598638535,-0.03698338568210602,-0.2734208405017853,-0.012944185175001621,-0.2863650321960449,0.0019976356998085976,0.006088367663323879,-0.5036998391151428,0.0021309286821633577,-0.5015689134597778,-0.053545381873846054,-0.03341607004404068,-0.46845558285713196,-0.011695624329149723,-0.4801512062549591,0.03244686499238014,0.02469012141227722,-0.1860758364200592,0.008641541935503483,-0.1774342954158783
0.08,0.0035067936405539513,0.5052601904608309,0.5036821333225816,0.5,0.0036821333225816044,2.1353275775909424,0.052682533860206604,2.126239061355591,-0.17294353246688843,-0.12211325764656067,-0.9926357269287109,-0.042739640921354294,-1.0,-0.06963614374399185,-0.03379898518323898,-0.13060632348060608,-0.011829644441604614,-0.1424359679222107,0.0637228712439537,0.048644036054611206,-0.9926357269287109,0.017025412991642952,-0.9756103157997131,0.03203868865966797,-0.0037497589364647865,-0.9926357269287109,-0.0013124155811965466,-0.9939481616020203,0.009474415332078934,0.008473213762044907,-0.1299198716878891,0.002965624677017331,-0.12695424258708954,0.04379846900701523,0.04798391833901405,-0.9926357269287109,0.016794370487332344,-0.9758413434028625,0.014212490990757942,0.02109488472342491,0.03365037962794304,0.007383209653198719,0.04103358834981918,0.009785869158804417,-0.0229526087641716,-0.3289349675178528,-0.008033412508666515,-0.33696839213371277,0.009563147090375423,0.007130801677703857,-0.518822968006134,0.00249578058719635,-0.5163272023200989,0.008240549825131893,-0.020919084548950195,-0.4362821877002716,-0.007321679499000311,-0.44360387325286865,0.008038785308599472,0.019694719463586807,-0.12463445216417313,0.00689315190538764,-0.11774130165576935
0.1,8.304324001073837e-05,0.5001245648600161,0.5000871954020113,0.5,8.71954020112975e-05,2.147857666015625,0.053350113332271576,2.1378886699676514,-0.11696743220090866,-0.12056951224803925,-0.9998255968093872,-0.042199328541755676,-1.0,0.015569901093840599,-0.018988318741321564,-0.12416844815015793,-0.006645911373198032,-0.1308143585920334,0.0715574249625206,0.055518053472042084,-0.9998255968093872,0.01943131908774376,-0.9803943037986755,-0.07072313129901886,-0.023841772228479385,-0.9998255968093872,-0.0083446204662323,-1.0,0.059026531875133514,0.02363920956850052,-0.13842329382896423,0.008273723535239697,-0.13014957308769226,0.013914905488491058,0.037763211876153946,-0.9998255968093872,0.013217124156653881,-0.9866084456443787,0.010059204883873463,0.017784180119633675,-0.025137336924672127,0.006224462762475014,-0.018912874162197113,-0.07323354482650757,-0.03803689032793045,-0.3726496994495392,-0.013312911614775658,-0.3859626054763794,-0.06584467738866806,-0.014761842787265778,-0.5245679020881653,-0.00516664469614625,-0.5297345519065857,-0.03382863849401474,-0.024791952222585678,-0.4011533856391907,-0.008677182719111443,-0.40983057022094727,-0.011665593832731247,0.010286625474691391,-0.0671827495098114,0.003600318916141987,-0.06358242779970169
0.12,-0.07734400779008865,0.383983988314867,0.4187887918204069,0.5,0.0812112081795931,1.8969874382019043,0.04191644862294197,1.896432876586914,-0.03820621967315674,-0.09586052596569061,-0.9931735992431641,-0.033551182597875595,-1.0,0.04899486154317856,0.0014066360890865326,-0.10813557356595993,0.000492322607897222,-0.1076432541012764,0.024226071313023567,0.0461304597556591,-0.853322446346283,0.01614566147327423,-0.8371767997741699,0.03688348829746246,-0.005624193698167801,-0.8461686372756958,-0.001968467840924859,-0.8481370806694031,0.004631937947124243,0.017937028780579567,-0.12746669352054596,0.006277959793806076,-0.12118873000144958,-0.025946810841560364,0.018650203943252563,-0.8559165000915527,0.006527571473270655,-0.8493889570236206,-0.04534915089607239,-0.0011558206751942635,-0.06916005909442902,-0.00040453721885569394,-0.06956459581851959,0.01875392347574234,-0.020999645814299583,-0.3442498445510864,-0.007349875755608082,-0.35159972310066223,-0.08576089888811111,-0.03606155887246132,-0.43865320086479187,-0.012621545232832432,-0.4512747526168823,-0.014981462620198727,-0.021848805248737335,-0.3028205931186676,-0.00764708174392581,-0.3104676604270935,0.0096961110830307,0.010109471157193184,-0.008046502247452736,0.003538314951583743,-0.004508187063038349
0.14,-0.0740203931927681,0.38896941021084785,0.4222785871475935,0.5,0.07772141285240652,1.9171693325042725,0.045276351273059845,1.912847876548767,-0.14345583319664001,-0.11013911664485931,-1.0,-0.03854868933558464,-1.0,-0.02441651187837124,-0.0063403090462088585,-0.1105392798781395,-0.0022191081661731005,-0.11275839060544968,0.024850472807884216,0.03974646329879761,-0.8690993189811707,0.013911262154579163,-0.8551880717277527,0.02238948456943035,0.002779909875243902,-0.8601914644241333,0.000972968467976898,-0.8592184782028198,0.04704499989748001,0.026669420301914215,-0.14097543060779572,0.00933429691940546,-0.13164113461971283,0.0038379444740712643,0.014206526800990105,-0.8542029857635498,0.004972284194082022,-0.8492307066917419,-0.027252288535237312,-0.00898476131260395,-0.11737684160470963,-0.0031446663197129965,-0.12052150815725327,-0.003653540275990963,-0.015795813873410225,-0.37530097365379333,-0.005528534762561321,-0.38082951307296753,-0.011763474904000759,-0.028772132471203804,-0.43624088168144226,-0.010070246644318104,-0.4463111162185669,-0.047066427767276764,-0.029414091259241104,-0.2682109773159027,-0.010294931940734386,-0.27850592136383057,-0.0026134252548217773,0.006292602047324181,0.040594860911369324,0.002202410716563463,0.0427972711622715
0.16,-0.014408745802938938,0.4783868812955916,0.48487081690691414,0.5,0.015129183093085863,2.108323574066162,0.04755118861794472,2.1086151599884033,-0.11859003454446793,-0.11267438530921936,-1.0,-0.039436034858226776,-1.0,0.002096145413815975,-0.0038093726616352797,-0.10550469160079956,-0.0013332804664969444,-0.10683797299861908,-0.020888552069664,0.021555958315730095,-0.976764976978302,0.007544585503637791,-0.9692203998565674,-0.051925309002399445,-0.01363165583461523,-0.9746570587158203,-0.0047710794024169445,-0.9794281125068665,0.12147679924964905,0.055111631751060486,-0.16109776496887207,0.01928907074034214,-0.14180868864059448,0.009913431480526924,0.012918598018586636,-0.9705280065536499,0.004521509166806936,-0.9660065174102783,0.02002551779150963,-0.00028167711570858955,-0.18784832954406738,-9.858699195319787e-05,-0.18794691562652588,-0.03306729346513748,-0.020977258682250977,-0.45808231830596924,-0.007342040538787842,-0.4654243588447571,-0.012422185391187668,-0.023867148905992508,-0.4878825843334198,-0.008353501558303833,-0.49623608589172363,-0.01619299128651619,-0.02544776163995266,-0.2616078853607178,-0.008906716480851173,-0.2705146074295044,0.036529332399368286,0.015363621525466442,0.10197697579860687,0.005377267487347126,0.10735424607992172
0.18,-0.027192573994398117,0.4592111390084028,0.471447797305882,0.5,0.028552202694118012,2.076935291290283,0.03889112547039986,2.079171657562256,-0.006191767752170563,-0.08072960376739502,-1.0,-0.028255360201001167,-1.0,0.0418960303068161,0.009902249090373516,-0.10576450824737549,0.0034657870419323444,-0.10229872167110443,-0.0358373261988163,0.004337972961366177,-0.9610802531242371,0.001518290489912033,-0.9595619440078735,0.03826437145471573,0.0019371528178453445,-0.9564591646194458,0.0006780034746043384,-0.9557811617851257,0.06834970414638519,0.05908305197954178,-0.17171445488929749,0.020679067820310593,-0.1510353833436966,-0.05010075494647026,-0.005987208336591721,-0.9431972503662109,-0.0020955228246748447,-0.9452927708625793,0.01543489284813404,0.004433293826878071,-0.23204484581947327,0.001551652792841196,-0.2304931879043579,0.009201937355101109,-0.011923499405384064,-0.46641916036605835,-0.004173224791884422,-0.4705923795700073,-0.018962953239679337,-0.022395890206098557,-0.4559840261936188,-0.007838561199605465,-0.4638225734233856,-0.0038527948781847954,-0.018969271332025528,-0.20621651411056519,-0.006639244966208935,-0.2128557562828064,0.07764740288257599,0.03404875844717026,0.1517878919839859,0.011917064897716045,0.16370496153831482
0.2,-0.052354827523231506,0.42146775871515274,0.44502743110060694,0.5,0.05497256889939306,2.01869797706604,0.050705138593912125,2.024449586868286,-0.10915973782539368,-0.08925864100456238,-1.0,-0.031240524724125862,-1.0,0.029619378969073296,0.015817388892173767,-0.11837741732597351,0.0055360859259963036,-0.11284133046865463,0.008497427217662334,0.005585809238255024,-0.9357399940490723,0.001955033279955387,-0.9337849617004395,-0.058015063405036926,-0.016048511490225792,-0.9257452487945557,-0.005616978742182255,-0.9313622117042542,0.15629899501800537,0.08824783563613892,-0.1890726536512375,0.03088674135506153,-0.1581859141588211,-0.016751479357481003,-0.009216489270329475,-0.8900835514068604,-0.0032257712446153164,-0.8933092951774597,0.008799459785223007,0.005743143614381552,-0.2630224823951721,0.0020101002883166075,-0.26101237535476685,-0.041682276874780655,-0.0208511333912611,-0.45480048656463623,-0.007297896780073643,-0.4620983898639679,-0.023580443114042282,-0.022751254960894585,-0.4078673720359802,-0.007962939329445362,-0.4158303141593933,-0.09577725827693939,-0.042011670768260956,-0.14685681462287903,-0.01470408495515585,-0.16156089305877686,0.06426627188920975,0.043114013969898224,0.19123446941375732,0.015089904889464378,0.20632436871528625
